_id,arrivalTime, timeBetweenArrivals, startingService, serviceTime , finishingTime
0,0.0, 0.021, 0.0, 0.139, 0.139
1,0.008, 0.008, 0.139, 0.126, 0.265
2,0.347, 0.34, 0.347, 0.496, 0.843
3,0.526, 0.179, 0.843, 0.139, 0.982
4,1.402, 0.876, 1.402, 0.147, 1.549
5,1.629, 0.227, 1.629, 0.016, 1.645
6,1.68, 0.051, 1.68, 0.367, 2.047
7,1.936, 0.256, 2.047, 0.019, 2.066
8,1.941, 0.005, 2.066, 0.265, 2.33
9,1.964, 0.023, 2.33, 0.156, 2.487
10,2.231, 0.266, 2.487, 0.017, 2.504
11,2.594, 0.363, 2.594, 0.126, 2.72
12,2.683, 0.089, 2.72, 0.342, 3.062
13,3.315, 0.632, 3.315, 0.069, 3.384
14,3.626, 0.311, 3.626, 0.137, 3.764
15,3.628, 0.002, 3.764, 0.165, 3.929
16,3.843, 0.215, 3.929, 0.027, 3.956
17,4.273, 0.43, 4.273, 0.259, 4.532
18,5.762, 1.489, 5.762, 0.018, 5.779
19,6.274, 0.512, 6.274, 0.053, 6.326
20,6.864, 0.59, 6.864, 0.107, 6.97
21,6.88, 0.016, 6.97, 0.007, 6.977
22,6.908, 0.028, 6.977, 0.016, 6.994
23,7.156, 0.248, 7.156, 0.076, 7.233
24,7.643, 0.487, 7.643, 0.057, 7.7
25,8.394, 0.751, 8.394, 1.354, 9.747
26,8.481, 0.087, 9.747, 0.623, 10.37
27,8.605, 0.124, 10.37, 0.135, 10.505
28,9.045, 0.44, 10.505, 0.04, 10.545
29,9.219, 0.174, 10.545, 0.547, 11.092
30,9.418, 0.198, 11.092, 0.173, 11.265
31,10.346, 0.928, 11.265, 0.026, 11.29
32,10.367, 0.021, 11.29, 0.738, 12.028
33,10.589, 0.223, 12.028, 0.025, 12.053
34,11.019, 0.429, 12.053, 0.482, 12.535
35,11.629, 0.61, 12.535, 0.22, 12.754
36,11.766, 0.137, 12.754, 0.13, 12.884
37,12.656, 0.89, 12.884, 0.08, 12.964
38,12.809, 0.153, 12.964, 0.84, 13.803
39,12.865, 0.056, 13.803, 0.091, 13.894
40,13.169, 0.303, 13.894, 0.505, 14.399
41,14.017, 0.849, 14.399, 0.114, 14.513
42,14.043, 0.026, 14.513, 0.017, 14.53
43,14.297, 0.254, 14.53, 0.044, 14.574
44,14.471, 0.174, 14.574, 0.288, 14.861
45,14.796, 0.324, 14.861, 0.012, 14.874
46,15.012, 0.216, 15.012, 0.07, 15.081
47,15.476, 0.464, 15.476, 0.104, 15.579
48,15.782, 0.307, 15.782, 0.086, 15.869
49,15.887, 0.104, 15.887, 0.339, 16.225
50,16.154, 0.267, 16.225, 0.517, 16.742
51,16.246, 0.093, 16.742, 0.01, 16.752
52,16.746, 0.5, 16.752, 0.771, 17.523
53,16.815, 0.069, 17.523, 0.201, 17.724
54,17.008, 0.193, 17.724, 0.109, 17.834
55,17.03, 0.022, 17.834, 0.093, 17.927
56,17.196, 0.166, 17.927, 0.037, 17.964
57,17.434, 0.238, 17.964, 0.032, 17.996
